"date","energy","impact_e","lat","lat_dir","lon","lon_dir","alt","vel"
2010-11-09,2,0.073,-14,"S",160,"W",26,NA
2010-10-27,14.5,0.42,-14.1,"S",-67.7,"E",35.2,NA
2010-10-08,2,0.073,NA,NA,NA,NA,NA,NA
2010-09-24,5,0.16,-67.4,"S",50.6,"W",NA,NA
2010-09-18,6.7,0.21,7.4,"N",-36.7,"E",NA,NA
2010-09-08,6.5,0.21,-13.9,"S",65.5,"W",46.3,NA
2010-09-05,68.3,1.7,-25.9,"S",-49,"E",35.2,NA
2010-09-03,175,3.8,-61,"S",-146.7,"E",33.3,12.3
2010-08-17,2.1,0.076,20.7,"N",114.3,"W",33.3,NA
2010-07-15,2.4,0.086,60.9,"N",178.1,"W",NA,NA
2010-07-06,756,14,-34.1,"S",174.5,"W",26,15.7
2010-06-26,11.3,0.34,-0.5,"S",-133.2,"E",50,NA
2010-06-21,16.3,0.47,-22.5,"S",120.9,"W",NA,NA
2010-06-17,11.9,0.35,-26.1,"S",-100,"E",42,NA
2010-04-17,5.6,0.18,13.1,"N",173,"W",NA,NA
2010-04-16,84.4,2,1.8,"N",176.9,"W",22.2,18.8
2010-04-06,8,0.25,52.8,"N",146.5,"W",NA,NA
2010-03-18,17.5,0.5,-32.4,"S",51.8,"W",NA,NA
2010-03-15,8,0.25,NA,NA,NA,NA,NA,NA
2010-03-14,4.2,0.14,33.8,"N",90.2,"W",35.6,NA
2010-03-08,3,0.1,18.2,"N",-110.1,"E",53,NA
2010-03-08,32.3,0.85,32,"N",92.9,"W",52,24.5
2010-02-28,15.3,0.44,48.7,"N",-21,"E",37,15.1
2010-02-26,23.7,0.65,-37.3,"S",166,"W",NA,NA
2010-02-24,9.3,0.28,-2.6,"S",102.2,"W",NA,NA
2010-01-15,49.2,1.2,-8.3,"S",-27,"E",25,14
2009-12-31,8.3,0.26,NA,NA,NA,NA,NA,NA
2009-12-31,10.2,0.31,37.9,"N",178.3,"W",20.7,NA
2009-11-25,6.4,0.2,-52.8,"S",-136.5,"E",NA,NA
2009-11-21,1000,18,-22,"S",-29.2,"E",38,32.1
2009-11-18,8.5,0.26,NA,NA,NA,NA,NA,NA
2009-11-18,73.6,1.8,40.4,"N",113.2,"W",31.5,NA
2009-11-14,2.3,0.082,NA,NA,NA,NA,NA,NA
2009-11-07,2.2,0.079,45.5,"N",157.7,"W",NA,NA
2009-11-07,4.2,0.14,24,"N",-64.1,"E",37,NA
2009-10-11,7.1,0.22,-78.3,"S",-70.2,"E",27.8,NA
2009-10-08,2000,33,-4.2,"S",-120.6,"E",19.1,19.2
2009-09-27,8.9,0.27,-36,"S",67.6,"W",37,NA
2009-09-18,14.4,0.42,7.7,"N",29.5,"W",NA,NA
2009-09-04,96.5,2.3,42.5,"N",-110,"E",28.3,24
2009-08-23,28,0.75,-67.7,"S",-18.3,"E",34,12.2
2009-07-31,2.5,0.089,8.9,"N",121.9,"W",NA,NA
2009-07-16,72.7,1.8,-24.4,"S",59.8,"W",32.2,NA
2009-07-03,2.7,0.095,NA,NA,NA,NA,NA,NA
2009-06-27,3.2,0.11,-26.6,"S",12.6,"W",26.1,15.2
2009-06-20,2.7,0.095,NA,NA,NA,NA,NA,NA
2009-06-18,3.3,0.11,-23.7,"S",16,"W",57.4,NA
2009-06-09,28.1,0.76,54.9,"N",152.7,"W",34.2,NA
2009-05-31,14.3,0.42,19.7,"N",121,"W",NA,NA
2009-05-13,7.3,0.23,NA,NA,NA,NA,NA,NA
2009-05-04,14,0.41,36.4,"N",160.4,"W",40.7,NA
2009-04-20,2.2,0.079,6,"N",-84.3,"E",NA,NA
2009-04-10,27,0.73,-44.7,"S",-25.7,"E",32.4,19.1
2009-03-04,17,0.48,NA,NA,NA,NA,NA,NA
2009-02-20,5,0.16,-64.9,"S",70,"W",NA,NA
2009-02-07,160,3.5,56.6,"N",-69.8,"E",40,15.4
2009-01-12,4.8,0.16,47.8,"N",44.3,"W",NA,NA
2009-01-10,2.3,0.082,-64,"S",-122.8,"E",26.5,NA
2008-12-24,3.5,0.12,-68.9,"S",102,"W",21.1,24.1
2008-12-12,21.6,0.6,-7,"S",9.7,"W",50,NA
2008-12-09,3.4,0.12,NA,NA,NA,NA,NA,NA
2008-11-24,14.6,0.42,-57.9,"S",-146.1,"E",34.8,23.7
